N,Threads,Avg_Serial_Time,Avg_Parallel_Time,Speedup
10000,1,0.029960,0.035695,0.8393
10000,2,0.027582,0.017110,1.6120
10000,4,0.029190,0.013716,2.1282
10000,8,0.028034,0.011629,2.4107
10000,16,0.029497,0.010873,2.7129
20000,1,0.105654,0.126654,0.8342
20000,2,0.104764,0.068546,1.5284
20000,4,0.100643,0.044780,2.2475
20000,8,0.104831,0.037507,2.7950
20000,16,0.102569,0.037188,2.7581
40000,1,0.391246,0.475327,0.8231
40000,2,0.385163,0.292631,1.3162
40000,4,0.386385,0.191207,2.0208
40000,8,0.396511,0.141621,2.7998
40000,16,0.393500,0.142009,2.7710
